svs_filename,slide_path,recognized_text
291419.svs,Breast_cancer_N=137/291419.svs,. | |
291423.svs,Breast_cancer_N=137/291423.svs,
291427.svs,Breast_cancer_N=137/291427.svs,« }
291431.svs,Breast_cancer_N=137/291431.svs,
291436.svs,Breast_cancer_N=137/291436.svs,4 ; x
291439.svs,Breast_cancer_N=137/291439.svs,
291443.svs,Breast_cancer_N=137/291443.svs,
291448.svs,Breast_cancer_N=137/291448.svs,( . :
291454.svs,Breast_cancer_N=137/291454.svs,a“
291457.svs,Breast_cancer_N=137/291457.svs,
291462.svs,Breast_cancer_N=137/291462.svs,4 |
291466.svs,Breast_cancer_N=137/291466.svs,{ | : |
291470.svs,Breast_cancer_N=137/291470.svs,
291474.svs,Breast_cancer_N=137/291474.svs,
291478.svs,Breast_cancer_N=137/291478.svs,
291482.svs,Breast_cancer_N=137/291482.svs,4 | | .
291487.svs,Breast_cancer_N=137/291487.svs,
291492.svs,Breast_cancer_N=137/291492.svs,
291496.svs,Breast_cancer_N=137/291496.svs,
279879_1033717001.svs,CRC_N=61/279879_1033717001.svs,
279880.svs,CRC_N=61/279880.svs,
279881.svs,CRC_N=61/279881.svs,
279882.svs,CRC_N=61/279882.svs,
279883.svs,CRC_N=61/279883.svs,
279884.svs,CRC_N=61/279884.svs,
279885.svs,CRC_N=61/279885.svs,
279886.svs,CRC_N=61/279886.svs,ial |
279887.svs,CRC_N=61/279887.svs,
279888.svs,CRC_N=61/279888.svs,“I 50”
279889.svs,CRC_N=61/279889.svs,
279890.svs,CRC_N=61/279890.svs,*
279891.svs,CRC_N=61/279891.svs,
279892.svs,CRC_N=61/279892.svs,
279893.svs,CRC_N=61/279893.svs,
279894.svs,CRC_N=61/279894.svs,
279895.svs,CRC_N=61/279895.svs,¥ ;
279896.svs,CRC_N=61/279896.svs,“ y
279897.svs,CRC_N=61/279897.svs,‘ i
279898.svs,CRC_N=61/279898.svs,
279899.svs,CRC_N=61/279899.svs,=
279900.svs,CRC_N=61/279900.svs,‘ a
279901.svs,CRC_N=61/279901.svs,=]
279902.svs,CRC_N=61/279902.svs,
279903.svs,CRC_N=61/279903.svs,“ef
279905.svs,CRC_N=61/279905.svs,‘ a |
279906.svs,CRC_N=61/279906.svs,aa |
279907.svs,CRC_N=61/279907.svs,
279908.svs,CRC_N=61/279908.svs,. :
279909.svs,CRC_N=61/279909.svs,
279910.svs,CRC_N=61/279910.svs,=
279911.svs,CRC_N=61/279911.svs,
279912.svs,CRC_N=61/279912.svs,
279913.svs,CRC_N=61/279913.svs,a
279914.svs,CRC_N=61/279914.svs,rE ) ;
279915.svs,CRC_N=61/279915.svs,
279916.svs,CRC_N=61/279916.svs,
279917.svs,CRC_N=61/279917.svs,“ }
279918.svs,CRC_N=61/279918.svs,
279919.svs,CRC_N=61/279919.svs,a
279920.svs,CRC_N=61/279920.svs,
279921.svs,CRC_N=61/279921.svs,—
279922.svs,CRC_N=61/279922.svs,
279923.svs,CRC_N=61/279923.svs,
279924.svs,CRC_N=61/279924.svs,
279925.svs,CRC_N=61/279925.svs,ie 57
279926.svs,CRC_N=61/279926.svs,
279927.svs,CRC_N=61/279927.svs,
279928.svs,CRC_N=61/279928.svs,
279929.svs,CRC_N=61/279929.svs,7
279930.svs,CRC_N=61/279930.svs,
279931.svs,CRC_N=61/279931.svs,-
279932.svs,CRC_N=61/279932.svs,* :
279933.svs,CRC_N=61/279933.svs,
279934.svs,CRC_N=61/279934.svs,
279950.svs,CRC_N=61/279950.svs,a
490935 9B.svs,CRC_N=61/490935 9B.svs,ia ;
491499 7.svs,CRC_N=61/491499 7.svs,a
"493251 7A,7B.svs","CRC_N=61/493251 7A,7B.svs",ae |
"493854 8,9.svs","CRC_N=61/493854 8,9.svs",a |
494432 6.svs,CRC_N=61/494432 6.svs,“o |
292627_.svs,HCC_N=39/292627_.svs,
292629_.svs,HCC_N=39/292629_.svs,
292631_.svs,HCC_N=39/292631_.svs,
292632_.svs,HCC_N=39/292632_.svs,
292634_.svs,HCC_N=39/292634_.svs,
292636_.svs,HCC_N=39/292636_.svs,
292637_.svs,HCC_N=39/292637_.svs,
292639_.svs,HCC_N=39/292639_.svs,
292641_.svs,HCC_N=39/292641_.svs,
292642_.svs,HCC_N=39/292642_.svs,
292644_.svs,HCC_N=39/292644_.svs,
292646_.svs,HCC_N=39/292646_.svs,
292649_.svs,HCC_N=39/292649_.svs,4 ° . | | . | |
292650_.svs,HCC_N=39/292650_.svs,
292652_.svs,HCC_N=39/292652_.svs,4
292653_.svs,HCC_N=39/292653_.svs,
292655_.svs,HCC_N=39/292655_.svs,a = . J
292656_.svs,HCC_N=39/292656_.svs,
292657_.svs,HCC_N=39/292657_.svs,; | =
292658_.svs,HCC_N=39/292658_.svs,; “ : | g
292659_.svs,HCC_N=39/292659_.svs,
292660_.svs,HCC_N=39/292660_.svs,
292661_.svs,HCC_N=39/292661_.svs,
292662_.svs,HCC_N=39/292662_.svs,
292663_.svs,HCC_N=39/292663_.svs,
292664_.svs,HCC_N=39/292664_.svs,
292665_.svs,HCC_N=39/292665_.svs,
292666_.svs,HCC_N=39/292666_.svs,
292667_.svs,HCC_N=39/292667_.svs,
292668_.svs,HCC_N=39/292668_.svs,
292669_.svs,HCC_N=39/292669_.svs,
292670_.svs,HCC_N=39/292670_.svs,a -
292671_.svs,HCC_N=39/292671_.svs,"’ - ue "" be ‘"
292672_.svs,HCC_N=39/292672_.svs,
292673_.svs,HCC_N=39/292673_.svs,
292674_.svs,HCC_N=39/292674_.svs,
292675_.svs,HCC_N=39/292675_.svs,
292677_.svs,HCC_N=39/292677_.svs,iB: a | i
292678_.svs,HCC_N=39/292678_.svs,
293671_.svs,Lung_Cancer_N=169/2024-09-20/293671_.svs,
293672_.svs,Lung_Cancer_N=169/2024-09-20/293672_.svs,
293673_.svs,Lung_Cancer_N=169/2024-09-20/293673_.svs,7 ; | .
293674_.svs,Lung_Cancer_N=169/2024-09-20/293674_.svs,> | en
293675_.svs,Lung_Cancer_N=169/2024-09-20/293675_.svs,
293676_.svs,Lung_Cancer_N=169/2024-09-20/293676_.svs,
293677_.svs,Lung_Cancer_N=169/2024-09-20/293677_.svs,° :
293678_.svs,Lung_Cancer_N=169/2024-09-20/293678_.svs,; - a a) ——_ -
293679_.svs,Lung_Cancer_N=169/2024-09-20/293679_.svs,
293680_.svs,Lung_Cancer_N=169/2024-09-20/293680_.svs,| | a? dive. . | ad
293681_.svs,Lung_Cancer_N=169/2024-09-20/293681_.svs,. onan | 7 =
293682_.svs,Lung_Cancer_N=169/2024-09-20/293682_.svs,
293683_.svs,Lung_Cancer_N=169/2024-09-20/293683_.svs,: 7 | a
293684_.svs,Lung_Cancer_N=169/2024-09-20/293684_.svs,| a? | A = R a
293686_.svs,Lung_Cancer_N=169/2024-09-20/293686_.svs,| © ” “ | . +e
293687_.svs,Lung_Cancer_N=169/2024-09-20/293687_.svs,| | | al
293689_.svs,Lung_Cancer_N=169/2024-09-20/293689_.svs,", ,"
293691_.svs,Lung_Cancer_N=169/2024-09-20/293691_.svs,
293692_.svs,Lung_Cancer_N=169/2024-09-20/293692_.svs,
293694_.svs,Lung_Cancer_N=169/2024-09-20/293694_.svs,", : = | i _——"
293696_.svs,Lung_Cancer_N=169/2024-09-20/293696_.svs,"| a ra . i, > —_—-"
293698_.svs,Lung_Cancer_N=169/2024-09-20/293698_.svs,
293700_.svs,Lung_Cancer_N=169/2024-09-20/293700_.svs,| | . | cunts
293702_.svs,Lung_Cancer_N=169/2024-09-20/293702_.svs,ie * . rae
293704_.svs,Lung_Cancer_N=169/2024-09-20/293704_.svs,
293706_.svs,Lung_Cancer_N=169/2024-09-20/293706_.svs,
293708_.svs,Lung_Cancer_N=169/2024-09-20/293708_.svs,Bin | _
293710_.svs,Lung_Cancer_N=169/2024-09-20/293710_.svs,: _
293711_.svs,Lung_Cancer_N=169/2024-09-20/293711_.svs,
293713_.svs,Lung_Cancer_N=169/2024-09-20/293713_.svs,| | | =
293715_.svs,Lung_Cancer_N=169/2024-09-20/293715_.svs,- |
293716_.svs,Lung_Cancer_N=169/2024-09-20/293716_.svs,
293718_.svs,Lung_Cancer_N=169/2024-09-20/293718_.svs,7 - ¢ | - “ue — rs _—
293720_.svs,Lung_Cancer_N=169/2024-09-20/293720_.svs,
293722_.svs,Lung_Cancer_N=169/2024-09-20/293722_.svs,
293724_.svs,Lung_Cancer_N=169/2024-09-20/293724_.svs,‘ Sal 7 eee
